source_id,title,author,category,original_path,file_type,pages,released_chunk_count,usable_chunk_count,rejected_chunk_count,corruption_percentage,best_extraction_method,clean_reextraction_possible,better_source_required,source_status,human_metadata_review_required,metadata_review_fields
diyafa-bi-ayn-al-amin,ضيافة بعين الأمين,Abrar ghkh,ramadan,../../diyafa_ramadan.pdf,pdf,145,176,0,177,100.0,pymupdf,False,True,NEEDS_REPLACEMENT_SOURCE,True,subcategory;edition;marja;official_source;is_current;review_status
durus-fikr-sadr,دروس من فكر الإمام الصدر في العقيدة والتفسير والسيرة,,aqeedah,durus_mn_fekr_alsadr.pdf,pdf,162,246,0,246,100.0,pymupdf,False,True,NEEDS_REPLACEMENT_SOURCE,True,subcategory;author;edition;version;marja;official_source;is_current;review_status
tabligh-dini,التبليغ الديني: مفهومه، مضمونه، أساليبه,,tabligh,altabligh.pdf,pdf,200,191,0,189,100.0,pymupdf,False,True,NEEDS_REPLACEMENT_SOURCE,True,subcategory;author;edition;version;marja;official_source;is_current;review_status
shakhsiyya-qiyadiyya,الشخصية القيادية للنبي محمد في فكر الإمام الخامنئي,,seerah,pdf_alchkhseya_alqeyadeya_llnabi_mohammad.pdf,pdf,110,115,0,115,100.0,pymupdf,False,True,NEEDS_REPLACEMENT_SOURCE,True,subcategory;author;edition;version;marja;official_source;is_current;review_status
durus-usul-aqidah,دروس في أصول العقيدة الإسلامية,,aqeedah,pdf_dourouss_fe_aosoul_alakida_alislameya.pdf,pdf,175,152,0,152,100.0,pymupdf,False,True,NEEDS_REPLACEMENT_SOURCE,True,subcategory;author;edition;version;marja;official_source;is_current;review_status
wilayat-faqih,دروس تمهيدية في ولاية الفقيه,,imamate,pdf_durus_tamhedeya_welaya.pdf,pdf,150,151,0,151,100.0,pymupdf,False,True,NEEDS_REPLACEMENT_SOURCE,True,subcategory;author;edition;version;marja;official_source;is_current;review_status
tarbiyah-wilaiyyah,التربية الولائية,,ethics,pdf_altarbeya_alwelaeya.pdf,pdf,138,146,0,146,100.0,pymupdf,False,True,NEEDS_REPLACEMENT_SOURCE,True,subcategory;author;edition;version;marja;official_source;is_current;review_status
durus-sirah,دروس تمهيدية في سيرة النبي والأئمة المعصومين,,seerah,pdf_durus_tamhedeya_serah.pdf,pdf,288,391,0,391,100.0,pymupdf,False,True,NEEDS_REPLACEMENT_SOURCE,True,subcategory;author;edition;version;marja;official_source;is_current;review_status
durus-fikr-khamenei-1,دروس من فكر الإمام الخامنئي - الجزء الأول,,hawza,durus_mn_fekr_alkhamenei-1.pdf,pdf,154,190,0,190,100.0,pymupdf,False,True,NEEDS_REPLACEMENT_SOURCE,True,subcategory;author;edition;version;marja;official_source;is_current;review_status
durus-fikr-khamenei-2,دروس من فكر الإمام الخامنئي - الجزء الثاني,,hawza,durus_mn_fekr_alkhamenei-2.pdf,pdf,154,180,0,180,100.0,pymupdf,False,True,NEEDS_REPLACEMENT_SOURCE,True,subcategory;author;edition;version;marja;official_source;is_current;review_status
durus-fikr-khomeini,دروس من فكر الإمام الخميني,,hawza,durus_mn_fekr_alkhomeini.pdf,pdf,178,297,0,297,100.0,pymupdf,False,True,NEEDS_REPLACEMENT_SOURCE,True,subcategory;author;edition;version;marja;official_source;is_current;review_status
madkhal-usul,مدخل إلى علم الأصول,,usul,ousoul.pdf,pdf,111,91,0,91,100.0,pymupdf,False,True,NEEDS_REPLACEMENT_SOURCE,True,subcategory;author;edition;version;marja;official_source;is_current;review_status
madkhal-fiqh,مدخل إلى علم الفقه,,fiqh,foqh.pdf,pdf,115,107,0,107,100.0,pymupdf,False,True,NEEDS_REPLACEMENT_SOURCE,True,subcategory;author;edition;version;marja;official_source;is_current;review_status
rihab-aqidah,في رحاب العقيدة,,aqeedah,aqida.pdf,pdf,261,236,0,236,100.0,pymupdf,False,True,NEEDS_REPLACEMENT_SOURCE,True,subcategory;author;edition;version;marja;official_source;is_current;review_status
madkhal-kalam,مدخل إلى علم الكلام,,kalam,kalam.pdf,pdf,105,90,0,90,100.0,pymupdf,False,True,NEEDS_REPLACEMENT_SOURCE,True,subcategory;author;edition;version;marja;official_source;is_current;review_status
dirasat-ilahiyyat,دراسات في الإلهيات,,kalam,dersat_fe_alelaheya.pdf,pdf,426,393,0,393,100.0,pymupdf,False,True,NEEDS_REPLACEMENT_SOURCE,True,subcategory;author;edition;version;marja;official_source;is_current;review_status
thaqafat-intizar,ثقافة الانتظار: رؤية جديدة على ضوء هداية القرآن والسنة والعقل,,mahdawiyyah,thaqafat_alintethar.pdf,pdf,242,281,0,281,100.0,pymupdf,False,True,NEEDS_REPLACEMENT_SOURCE,True,subcategory;author;edition;version;marja;official_source;is_current;review_status
nahj-rasul,نهج الرسول: القيم الرسالية والإنسانية في حديث رسول الله,,hadith,nahj_alrasoul_s.pdf,pdf,402,378,0,378,100.0,pymupdf,False,True,NEEDS_REPLACEMENT_SOURCE,True,subcategory;author;edition;version;marja;official_source;is_current;review_status
maaref-islam,معارف الإسلام,,hawza,maaref_alislam_2018.pdf,pdf,522,598,0,598,100.0,pymupdf,False,True,NEEDS_REPLACEMENT_SOURCE,True,subcategory;author;edition;marja;official_source;is_current;review_status
risala-ilmiyya-sayyid-qaid,الرسالة العلمية للسيد القائد,,fiqh,alresala_alilmiya_lilsayyid_alqaed.pdf,pdf,706,1461,0,1480,100.0,pymupdf,False,True,NEEDS_REPLACEMENT_SOURCE,True,subcategory;author;edition;version;marja;official_source;is_current;review_status
minhaj-salihin-1445,منهاج الصالحين,,fiqh,arabic-menhaj-1-1445.pdf,pdf,520,537,0,537,100.0,pymupdf,False,True,NEEDS_REPLACEMENT_SOURCE,True,subcategory;author;edition;marja;official_source;is_current;review_status
risala-amaliyya-shirazi,الرسالة العملية للسيد رضا الشيرازي,السيد رضا الشيرازي,fiqh,alresala_alamaleia_alshirazi.pdf,pdf,668,108,0,108,100.0,pymupdf,False,True,NEEDS_REPLACEMENT_SOURCE,True,subcategory;edition;version;marja;official_source;is_current;review_status
